PuzzleId,FEN,Moves,Rating,Themes
ugkyN,7k/1pN1r1pp/1nnp4/p7/P7/7P/1P3PP1/R3R1K1 b - - 2 25,e7c7 e1e8,399,backRankMate endgame mate mateIn1 oneMove
sjQ8B,8/ppp4p/2k5/1qP5/8/2Q5/PPP3PP/R4r1K w - - 1 24,a1f1 b5f1,399,endgame mate mateIn1 oneMove
Nxm1s,r1bq4/pp3ppk/4p3/8/2P5/2b2Q2/P4PPP/1RB3K1 w - - 0 20,f3c3 d8d1 c3e1 d1e1,400,endgame mate mateIn2 short
rhhaV,r4rk1/pb2ppbp/1p4p1/2pq4/3n4/1P3NP1/PBQ1PPBP/R4RK1 w - - 0 13,f3d4 d5g2,414,kingsideAttack mate mateIn1 middlegame oneMove
PU5pf,8/6p1/2p5/1kP2pPp/7P/8/1r3r2/5RK1 b - - 1 60,b2b1 f1b1 f2b2 b1b2,423,crushing endgame hangingPiece master rookEndgame short
acd8l,r1b1r1k1/ppp2p2/7Q/8/8/2N5/PP3PPP/R3q1K1 w - - 1 18,a1e1 e8e1,425,backRankMate endgame mate mateIn1 oneMove
15MY2,k1Qr1q2/pp6/4p3/4Pp1p/P2n4/1PR3P1/5PP1/2R2BK1 b - - 4 31,d8c8 c3c8 f8c8 c1c8,429,backRankMate endgame fork mate mateIn2 short
O8NXH,6k1/1p3pP1/2p2r1p/p2p4/3P4/P1PQ4/1PB3PP/5q1K w - - 13 35,d3f1 f6f1,438,backRankMate endgame mate mateIn1 oneMove
IDBpU,3r2k1/5ppp/p4q2/1p6/2p1PQP1/2P2P2/PP1R3P/1K1B4 b - - 0 28,f6f4 d2d8,439,backRankMate endgame hangingPiece mate mateIn1 oneMove
KKGtq,r2qkb1r/pp1npp2/2p5/2P3p1/2BP3p/PP2PQB1/5PPP/R3K2R b KQkq - 1 16,h4g3 f3f7,441,attackingF2F7 mate mateIn1 middlegame oneMove
WuJvF,6k1/5p2/4p1pp/3n4/1PR5/7P/5rPK/B7 b - - 1 44,f2a2 c4c8 g8h7 c8h8,441,endgame mate mateIn2 operaMate short
QuzGj,6k1/2q2ppp/4p3/7b/RN6/1NP1r1P1/KP6/3Q4 b - - 0 46,h5d1 a4a8 c7b8 a8b8,446,backRankMate endgame mate mateIn2 short
6WnIC,r3r1k1/1bq1bppp/pp3B2/3p4/3p4/2N2N2/PPP1QPPP/R3R1K1 b - - 0 17,e7f6 e2e8 a8e8 e1e8,451,backRankMate mate mateIn2 middlegame short
8Cs5O,r2r2k1/5pPp/2p5/6PN/8/Pp3n1B/1P4R1/1K1q3R w - - 4 29,h1d1 d8d1,452,master mate mateIn1 middlegame oneMove
